State,Crop,Season,Sowing_Month,Harvest_Month,Growth_Stage,Soil_Type,Water_Requirement,Fertilizer_Used,Pesticide_Used,Organic_Practice,Major_Disease
Maharashtra,Wheat,Zaid,February,May,Sowing,Clay loam in irrigated areas,"5-6 critical irrigations: CRI, tillering, jointing, flowering, milk, dough stages",Muriate of Potash 40kg/ha for grain quality,Mancozeb 75WP broad spectrum fungicide,Compost application 5 tons/ha,Black rust in warmer conditions
Kerala,Banana,Kharif,June,October,Flowering,Deep rich loamy soil 75cm depth,Frequent irrigation every 5-7 days,"Micronutrients Zn, B for bunch",Chlorpyrifos 20EC for banana weevil,Neem cake 2kg/plant at planting,Panama wilt Fusarium oxysporum devastating
Gujarat,Groundnut,Rabi,October,March,Germination,Red soil with calcium,Avoid excess moisture causing diseases,Low nitrogen 25kg N/ha legume,Thiamethoxam 25WG systemic,Crop rotation with cereals,Collar rot seedling disease
Punjab,Wheat,Rabi,November,March,Sowing,Sandy loam with good organic content,"5-6 critical irrigations: CRI, tillering, jointing, flowering, milk, dough stages",NPK 12-32-16 complete mixture,Quinalphos 25EC for termite prevention,FYM 8-10 tons/ha incorporated before sowing,Karnal bunt quarantine disease
Jammu and Kashmir,Apple,Kharif,July,October,Vegetative,Sandy loam,Snow-fed moisture,NPK 70:35:70 g/tree,Chlorpyrifos for codling moth,Pruning and mulching,Powdery mildew
Rajasthan,Wheat,Rabi,November,March,Sowing,Well-drained loamy soil pH 6-7.5,Moderate requirement 45-65cm through season,Urea 130kg/ha for nitrogen supply,Mancozeb 75WP broad spectrum fungicide,Neem-based pesticides for pest management,Root rot in waterlogged conditions
Puducherry,Pulses,Kharif,July,September,Flowering,Clay loam in irrigated areas,Drought tolerant crops,Phosphorus important DAP 100kg/ha,Chlorpyrifos 20EC for various pests,FYM 5 tons/ha light application,Wilt Fusarium various species
Gujarat,Cotton,Rabi,November,March,Fruiting,Deep sandy loam well-drained,10-12 irrigations in non-rainy season,Boron 10kg/ha and Zinc 25kg/ha micronutrients,Thiamethoxam 25WG systemic insecticide,Intercropping with pulses or marigold,Bacterial blight angular leaf spots
Goa,Arecanut,Zaid,March,May,Vegetative,Well-drained red loam,High moisture requirement,NPK 100:40:140 g/palm/year,Chlorpyrifos for spindle bug,Mulching,Bud rot
Assam,Oilseeds,Zaid,February,June,Vegetative,Sandy loam,Critical at flowering,DAP 120kg/ha,Quinalphos 25EC,Crop rotation,White rust
Goa,Coconut,Kharif,June,September,Fruiting,Alluvial soil near coast,Drip irrigation efficient,NPK 500:320:120 g/palm/year,Neem oil for black headed caterpillar,Neem cake 2kg/palm,Root wilt disease
Bihar,Maize,Zaid,March,June,Maturity,Black soil with proper drainage facilities,Avoid water stress during grain filling,NPK 20-20-0 at planting,Chlorantraniliprole 18.5SC for fall armyworm,Trichoderma viride for disease control,Downy mildew systemic infection
Assam,Jute,Zaid,February,June,Maturity,Alluvial soil of river basins,High rainfall crop 150-200cm,DAP 100kg/ha,Endosulfan alternatives for hairy caterpillar,FYM 10 tons/ha,Stem rot
Jammu and Kashmir,Rice,Kharif,July,October,Fruiting,Red laterite soil with adequate irrigation,Drip irrigation in System of Rice Intensification (SRI),Urea 46% N 120kg/ha in split doses,Imidacloprid 17.8SL systemic insecticide,Crop rotation with pulses to fix nitrogen,Brown spot causing yield reduction
Mizoram,Banana,Zaid,March,May,Flowering,Deep rich loamy soil 75cm depth,Drip irrigation best method,"Micronutrients Zn, B for bunch",Mancozeb 75WP for sigatoka,Vermicompost 5kg/plant beneficial,Bunchy top virus aphid transmitted
Mizoram,Rice,Kharif,July,November,Fruiting,Black cotton soil in deltaic regions,Drip irrigation in System of Rice Intensification (SRI),DAP 18-46-0 100kg/ha as basal,Carbofuran 3G granules for gall midge control,Green manuring with Dhaincha or Sesbania for nitrogen,Brown spot causing yield reduction
Punjab,Barley,Zaid,February,May,Vegetative,Well-drained loam,2-3 irrigations,Urea 60kg/ha,Propiconazole for leaf rust,Crop rotation,Powdery mildew
Gujarat,Bajra,Kharif,July,October,Germination,Light loam soil,Rainfed crop,DAP 80kg/ha,Neem oil for aphids,Minimal input crop,Ergot
Tamil Nadu,Sugarcane,Kharif,June,October,Fruiting,Red loam with irrigation facilities,Frequent irrigation every 7-10 days in summer,Potash 120kg/ha important for sugar content,Chlorpyrifos 20EC for termite and root borer,Biofertilizers Azospirillum and PSB,Smut producing whip-like structures
Karnataka,Sugarcane,Zaid,February,June,Maturity,Red loam with irrigation facilities,Drip or furrow irrigation methods,"Micronutrients Fe, Zn, Mn for healthy growth",Carbofuran 3G systemic insecticide,Trash mulching conserves moisture,Rust fungal disease on leaves
Rajasthan,Wheat,Rabi,October,February,Germination,Well-drained loamy soil pH 6-7.5,Avoid water logging which causes root damage,NPK 12-32-16 complete mixture,Quinalphos 25EC for termite prevention,FYM 8-10 tons/ha incorporated before sowing,Brown rust most common rust disease
Jammu and Kashmir,Saffron,Zaid,March,June,Germination,Calcareous soil,Low irrigation,FYM 20 tons/ha,Minimal pesticide use,Traditional organic cultivation,Corm rot
Manipur,Rice,Kharif,June,October,Germination,Red laterite soil with adequate irrigation,Drip irrigation in System of Rice Intensification (SRI),Muriate of Potash 0-0-60 60kg/ha,Tricyclazole 75WP for blast disease,Vermicompost 5 tons/ha for soil health,Blast disease affecting leaves and panicles
Jharkhand,Vegetables,Rabi,November,March,Germination,Well-drained loamy soil,Drip irrigation preferred,NPK 100:60:60 kg/ha,Spinosad for caterpillars,Crop rotation,Leaf curl
Himachal Pradesh,Wheat,Kharif,July,November,Vegetative,Clay loam in irrigated areas,Avoid water logging which causes root damage,NPK 12-32-16 complete mixture,Chlorpyrifos 20EC 2ml/L for aphid control,Neem-based pesticides for pest management,Yellow rust in cool humid weather
Tamil Nadu,Cotton,Rabi,October,March,Vegetative,Black cotton soil (Regur) ideal for cotton,Drip irrigation most efficient method,Muriate of Potash 60kg/ha for fiber quality,Thiamethoxam 25WG systemic insecticide,FYM 10 tons/ha before sowing,Alternaria leaf spot common disease
Meghalaya,Maize,Kharif,July,September,Fruiting,Alluvial soil of river basins,Moderate requirement 50-75cm,Potash 60kg/ha for strong stalks,Imidacloprid 70WG for aphids and leafhoppers,Vermicompost 3-4 tons/ha,Common rust orange pustules
Goa,Cashew,Kharif,July,October,Maturity,Sandy loam,Low to moderate,NPK 500g/tree/year,Lambda-cyhalothrin for tea mosquito bug,Organic manure,Die back
Goa,Cashew,Zaid,March,May,Flowering,Laterite soil,Low to moderate,NPK 500g/tree/year,Lambda-cyhalothrin for tea mosquito bug,Mulching,Die back
Rajasthan,Cotton,Kharif,July,September,Sowing,Deep sandy loam well-drained,Moderate requirement 70-90cm per season,Muriate of Potash 60kg/ha for fiber quality,Emamectin benzoate 5SG for bollworm complex,Intercropping with pulses or marigold,Wilt disease causing wilting and death
Telangana,Rice,Zaid,February,May,Germination,Black cotton soil in deltaic regions,Drip irrigation in System of Rice Intensification (SRI),DAP 18-46-0 100kg/ha as basal,Chlorpyrifos 20EC for stem borer and leaf folder,Vermicompost 5 tons/ha for soil health,False smut during flowering stage
Jammu and Kashmir,Rice,Kharif,June,November,Flowering,Red laterite soil with adequate irrigation,Drip irrigation in System of Rice Intensification (SRI),Urea 46% N 120kg/ha in split doses,Carbofuran 3G granules for gall midge control,Green manuring with Dhaincha or Sesbania for nitrogen,Sheath blight in humid conditions
Andhra Pradesh,Rice,Zaid,February,May,Germination,Clayey loam soil with good water retention,High water requirement 150-200cm annually,Zinc sulphate 25kg/ha in deficient soils,Cartap hydrochloride 50SP for BPH and WBPH,Crop rotation with pulses to fix nitrogen,Blast disease affecting leaves and panicles
Uttar Pradesh,Rice,Rabi,October,February,Flowering,Black cotton soil in deltaic regions,Drip irrigation in System of Rice Intensification (SRI),Zinc sulphate 25kg/ha in deficient soils,Cartap hydrochloride 50SP for BPH and WBPH,Neem cake 200kg/ha as soil amendment,Tungro virus spread by leafhoppers
Gujarat,Rice,Rabi,November,February,Flowering,Black cotton soil in deltaic regions,Flooded fields during growing season with 5-10cm standing water,NPK 20-20-0 complex mixture,Chlorpyrifos 20EC for stem borer and leaf folder,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Blast disease affecting leaves and panicles
Uttarakhand,Wheat,Rabi,November,February,Germination,Sandy loam with good organic content,Sprinkler irrigation for water efficiency,DAP 120kg/ha at sowing time,Chlorpyrifos 20EC 2ml/L for aphid control,FYM 8-10 tons/ha incorporated before sowing,Karnal bunt quarantine disease
Puducherry,Cotton,Kharif,June,November,Maturity,Deep sandy loam well-drained,Critical at flowering and boll formation stages,Urea in 3-4 split doses total 150kg/ha,Profenofos 50EC for sucking pests,Pheromone traps for bollworm monitoring,Cotton leaf curl virus CLCuV
Bihar,Rice,Rabi,November,March,Flowering,Black cotton soil in deltaic regions,Flooded fields during growing season with 5-10cm standing water,DAP 18-46-0 100kg/ha as basal,Carbofuran 3G granules for gall midge control,Crop rotation with pulses to fix nitrogen,Sheath blight in humid conditions
Meghalaya,Potato,Rabi,November,February,Flowering,Well-drained soil pH 5.5-6.5,Moderate requirement 50-75cm,NPK 19-19-19 complex fertilizer,Chlorpyrifos 20EC for cutworm,Crop rotation with cereals mandatory,Common scab in alkaline soils
Meghalaya,Orange,Zaid,March,June,Germination,Well-drained loam,Moderate irrigation,FYM 20kg/tree,Imidacloprid for citrus psylla,Pruning and mulching,Gummosis
Rajasthan,Barley,Zaid,February,May,Fruiting,Well-drained loam,2-3 irrigations,Urea 60kg/ha,Propiconazole for leaf rust,Compost,Powdery mildew
Uttar Pradesh,Potato,Kharif,June,November,Vegetative,Loamy soil rich in organic matter,Moderate requirement 50-75cm,Calcium and magnesium for quality,Carbendazim 50WP for dry rot,Neem cake 500kg/ha at planting,Common scab in alkaline soils
Kerala,Rice,Rabi,November,February,Maturity,Red laterite soil with adequate irrigation,Drip irrigation in System of Rice Intensification (SRI),NPK 20-20-0 complex mixture,Chlorpyrifos 20EC for stem borer and leaf folder,Crop rotation with pulses to fix nitrogen,Bacterial leaf blight in warm weather
Himachal Pradesh,Apple,Zaid,February,May,Sowing,Sandy loam,Snow-fed moisture,FYM 20kg/tree,Chlorpyrifos for codling moth,Pruning and mulching,Powdery mildew
Mizoram,Turmeric,Rabi,November,March,Flowering,Red soil,Moderate rainfall 100-150cm,NPK 60:50:120,Neem oil,Rhizome treatment,Leaf blotch
Nagaland,Pulses,Zaid,February,June,Flowering,Red and black soils suitable,Critical at flowering and pod formation,Low nitrogen 20kg N/ha,Quinalphos 25EC for pod borer complex,Neem-based pesticides safe,Sterility mosaic mite transmitted
Goa,Fruits,Rabi,October,March,Sowing,Red loam and alluvial soil,Moderate irrigation,NPK 70:35:70 g/tree,Chlorpyrifos for fruit flies,Pruning,Fruit rot
West Bengal,Rice,Rabi,November,February,Sowing,Red laterite soil with adequate irrigation,Alternate wetting and drying to save 25-30% water,Muriate of Potash 0-0-60 60kg/ha,Chlorpyrifos 20EC for stem borer and leaf folder,Green manuring with Dhaincha or Sesbania for nitrogen,Sheath blight in humid conditions
Uttar Pradesh,Wheat,Zaid,March,June,Maturity,Deep alluvial soil of Indo-Gangetic plains,"5-6 critical irrigations: CRI, tillering, jointing, flowering, milk, dough stages",NPK 12-32-16 complete mixture,Mancozeb 75WP broad spectrum fungicide,Neem-based pesticides for pest management,Root rot in waterlogged conditions
Himachal Pradesh,Apple,Rabi,November,March,Germination,Well-drained loam,Snow-fed moisture,NPK 70:35:70 g/tree,Chlorpyrifos for codling moth,Pruning and mulching,Powdery mildew
Uttarakhand,Fruits,Kharif,June,October,Fruiting,Red loam and alluvial soil,Moderate irrigation,FYM 20-25 kg/tree,Neem oil,Pruning,Fruit rot
Andhra Pradesh,Groundnut,Rabi,November,February,Fruiting,Well-drained alluvial soil pH 6-7,Critical at pegging and pod formation,Potash 50kg/ha in deficient soils,Thiamethoxam 25WG systemic,Rhizobium culture inoculation mandatory,Rosette disease aphid transmitted
Jammu and Kashmir,Wheat,Kharif,June,September,Vegetative,Sandy loam with good organic content,Moderate requirement 45-65cm through season,Urea 130kg/ha for nitrogen supply,Tebuconazole 2DS for Karnal bunt,Azotobacter biofertilizer for N fixation,Powdery mildew in dense canopy
Uttarakhand,Pulses,Rabi,November,March,Flowering,Well-drained loam pH 6-7.5,Low to moderate 35-50cm,Sulphur 20-30kg/ha for oilseeds,Chlorpyrifos 20EC for various pests,Crop rotation improves soil nitrogen,Powdery mildew white coating
Jharkhand,Rice,Zaid,February,June,Vegetative,Clayey loam soil with good water retention,Flooded fields during growing season with 5-10cm standing water,Urea 46% N 120kg/ha in split doses,Tricyclazole 75WP for blast disease,Green manuring with Dhaincha or Sesbania for nitrogen,Sheath blight in humid conditions
Telangana,Jowar,Zaid,February,May,Flowering,Black cotton soil,Low to moderate 40-60cm,Urea 80kg/ha,Carbaryl for shoot fly,FYM 5 tons/ha,Grain mold
Puducherry,Sugarcane,Zaid,February,June,Sowing,Deep rich loamy soil 1-1.5m depth,Frequent irrigation every 7-10 days in summer,NPK 15-15-15 balanced fertilizer,Fipronil 0.3G for early shoot borer,Trash mulching conserves moisture,Wilt causing yellowing and drying
Assam,Rice,Rabi,October,February,Maturity,Clayey loam soil with good water retention,Alternate wetting and drying to save 25-30% water,Urea 46% N 120kg/ha in split doses,Imidacloprid 17.8SL systemic insecticide,Neem cake 200kg/ha as soil amendment,False smut during flowering stage
Sikkim,Maize,Zaid,February,June,Flowering,Sandy loam with good aeration,Avoid water stress during grain filling,Potash 60kg/ha for strong stalks,Carbofuran 3G at whorl stage,FYM 8-10 tons/ha pre-sowing,Maydis leaf blight causing lesions
Madhya Pradesh,Sugarcane,Rabi,October,February,Vegetative,Deep rich loamy soil 1-1.5m depth,Drip or furrow irrigation methods,DAP/SSP 200kg/ha phosphorus,Carbofuran 3G systemic insecticide,Compost 25 tons/ha for soil enrichment,Smut producing whip-like structures
Assam,Tea,Zaid,February,June,Germination,Well-drained hill soil,Frequent light irrigation,High nitrogen requirement,Imidacloprid for tea mosquito bug,Mulching with pruned leaves,Red rust
Jammu and Kashmir,Vegetables,Kharif,July,November,Germination,Alluvial soil rich in organic matter,Drip irrigation preferred,NPK 100:60:60 kg/ha,Spinosad for caterpillars,Crop rotation,Powdery mildew
Jammu and Kashmir,Apple,Kharif,June,November,Germination,Well-drained loam,Snow-fed moisture,NPK 70:35:70 g/tree,Chlorpyrifos for codling moth,Pruning and mulching,Apple scab
Haryana,Cotton,Zaid,February,June,Maturity,Red soil with organic amendments,Moderate requirement 70-90cm per season,Boron 10kg/ha and Zinc 25kg/ha micronutrients,Profenofos 50EC for sucking pests,Bt cotton varieties for bollworm resistance,Grey mildew in humid conditions
Sikkim,Maize,Kharif,July,November,Flowering,Sandy loam with good aeration,4-5 irrigations through growing season,Potash 60kg/ha for strong stalks,Chlorantraniliprole 18.5SC for fall armyworm,Neem cake 200kg/ha soil application,Stalk rot weakening stems
West Bengal,Wheat,Rabi,November,February,Fruiting,Sandy loam with good organic content,Avoid water logging which causes root damage,Muriate of Potash 40kg/ha for grain quality,Quinalphos 25EC for termite prevention,FYM 8-10 tons/ha incorporated before sowing,Powdery mildew in dense canopy
Madhya Pradesh,Soybean,Kharif,July,September,Sowing,Red and yellow soil suitable,Critical at flowering and pod filling,Potash 40kg/ha for seed quality,Chlorpyrifos 20EC broad spectrum,Rhizobium japonicum culture mandatory,Yellow mosaic virus whitefly vector
